Tipo,Numero,Data,Nivel,Ementa
Deliberação COPAM,"554,00",11/12/2013,Estadual,"Altera a Deliberação COPAM nº 483, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"571,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 479, de 24 de maio de 2013 e dá outras providências"
Deliberação COPAM,"632,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 482, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"627,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 479, de 24 de maio de 2013 e dá outras providências"
Deliberação COPAM,"632,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências"
Deliberação COPAM,"630,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 492, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"631,00",13/07/2014,Estadual,"Altera Deliberação COPAM nº 438, de 31 de julho de 2012, e dá outras providências."
Deliberação COPAM,"626,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 483, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"628,00",15/07/2014,Estadual,"Altera a Deliberação COPAM nº 484, de 24 de maio de 2013 e dá outras providências"
Deliberação COPAM,"629,00",27/06/2016,Estadual,"Altera a Deliberação COPAM nº 488, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"907,00",27/06/2016,Estadual,"Altera a Deliberação COPAM nº 487, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"905,00",27/06/2016,Estadual,"Altera a Deliberação COPAM nº 489, de 24 de maio de 2013 e dá outras providências."
Portaria IGAM,"906,00",28/06/2016,Estadual,Instaura Sindicância Administrativa.
Deliberação Normativa CERH-MG,"17,00",30/06/2016,Estadual,"Estabelece as diretrizes gerais, os princípios e fundamentos para subsidiar a elaboração dos Regimentos Internos dos Comitês de Bacias Hidrográficas."
Deliberação COPAM,"52,00",30/06/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"909,00",30/06/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"908,00",30/06/2016,Estadual,"Altera a Deliberação COPAM nº 489, de 24 de maio de 2013 e dá outras providências."
Resolução SEMAD,"910,00",05/07/2016,Estadual,"Prorroga o Processo Punitivo instaurado pela Resolução SEMAD 2359, de 17 de Março de 2016, prorrogada pela Resolução SEMAD 2374, de 13 de Maio de 2016."
RESOLUÇÃO CONJUNTA CGE/ SEMAD/ IEF /IGAM /FEAM,2.388,05/07/2016,Estadual,"Dispõe sobre a instituição e o funcionamento do Núcleo de Correição Administrativa, no âmbito da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável, do Instituto Estadual de Florestas, do Instituto Mineiro de Gestão de Águas e da Fundação Estadual do Meio Ambiente"
Deliberação Normativa COPAM,"42 370,00",25/05/2016,Estadual,"Altera a Deliberação Normativa COPAM nº 17, de 17 de dezembro de 1996, que dispõe sobre prazo de validade de licenças ambientais, sua revalidação e dá outras providências."
Resolução Conjunta SEMAD/PMMG,"209,00",12/07/2016,Estadual,"Dispõe sobre a delegação de competência para a prática de atos relacionados à execução orçamentária, financeira e contábil no âmbito da unidade executora SEMAD/PMMG."
Deliberação COPAM,2.389,13/07/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Portaria IEF,"912,00",12/07/2016,Estadual,Delega competência para substituir o Chefe do Escritório Regional Alto Jequitinhonha/Diamantina durante o período de férias regulamentares.
Portaria IEF,"43,00",12/07/2016,Estadual,Altera a Composição do Conselho Consultivo do Parque Estadual Serra do Papagaio instituído pela Portaria 107 de 16 de outubro de 2014.
Portaria FEAM,"42,00",07/07/2016,Estadual,Designa servidor para responder pelo expediente da Presidência da FEAM durante o afastamento por férias regulamentares de seu titular e dá outras providências.
Resolução SEMAD,"572,00",15/07/2016,Estadual,Delega competência à Superintendente de Controle e Emergência Ambiental para a assinatura e demais atos pertinentes aos contratos temporários referentes ao Edital SEMAD nº 001/2016.
Resolução CONAMA,2.391,05/07/2002,Federal,"Estabelece diretrizes, critérios e procedimentos para a gestão dos resíduos da construção civil."
Portaria IGAM,"307,00",19/07/2016,Estadual,"Delega competência para a prática dos atos que menciona, e dá outras providências."
Resolução SEMAD,"18,00",21/07/2016,Estadual,Estabelece procedimentos administrativos extraordinários relativos a processos de regularização ambiental em decorrência do movimento de greve dos servidores do SISEMA e dá outras providências.
Portaria IEF,2.392,25/07/2016,Estadual,Prorrogar o prazo inicial estabelecido pela Portaria IEF nº 30 de 2016
Portaria IGAM,"45,00",18/07/2016,Estadual,Dispõe sobre a instauração de processo administrativo de Tomada de Contas Especial em face do Convênio nº 1371010403412 – Pasta 884 e institui Comissão Especial para o desempenho das funções próprias
Portaria IGAM,"19,00",18/07/2016,Estadual,Dispõe sobre a instauração de processo administrativo de Tomada de Contas Especial em face do Convênio nº 1371010404809 – Pasta 78 e institui Comissão Especial para o desempenho das funções próprias.
Portaria IGAM,"20,00",18/07/2016,Estadual,Dispõe sobre a instauração de processo administrativo de Tomada de Contas Especial em face do Convênio nº 1371010402312 – Pasta 882 e institui Comissão Especial para o desempenho das funções próprias.
Portaria IGAM,"22,00",18/07/2016,Estadual,Dispõe sobre a instauração de processo administrativo de Tomada de Contas Especial em face do Convênio nº 1371010403112 – Pasta 881 e institui Comissão Especial para o desempenho das funções próprias
Resolução SEMAD,"21,00",28/07/2016,Estadual,Institui Grupo de Trabalho visando à realização de diagnóstico e ações para a melhoria das condições de trabalho e da estrutura do Sistema Estadual de Meio Ambiente e Recursos Hídricos – Sisema.
Resolução Conjunta SEMAD/IEF,2.393,29/07/2016,Estadual,Dispõe sobre cadastro e registro para as pessoas físicas e jurídicas que exerçam a atividade de aquicultura no Estado de Minas Gerais.
Resolução SEMAD,2.394,04/08/2016,Estadual,"Delega competência para a prática dos atos que menciona, e dá outras providências"
Resolução SEMAD,2.396,04/08/2016,Estadual,"Divulga o Cadastro Estadual de Entidades Ambientalistas – CEEA, conforme Resolução SEMAD nº 1.573, de 26 de abril de 2012."
Deliberação CERH-MG,2.397,05/08/2016,Estadual,Aprova a composição das Câmaras Técnicas do Conselho Estadual de Recursos Hídricos para o mandato 2015-2017.
Portaria FEAM,"393,00",05/08/2016,Estadual,"Delega competência para a prática dos atos que menciona, e dá outras providências."
Portaria Conjunta FEAM/FAPEMIG,"573,00",01/08/2016,Estadual,Delega competência para execução de orçamento referente ao Termo de Descentralização de Crédito Orçamentário n.º 2091010500114.
Portaria IEF,"1,00",08/08/2016,Estadual,Dispõe sobre a criação do Comitê Gestor do Corredor Ecológico Sossego Caratinga.
Portaria IEF,"48,00",11/08/2016,Estadual,Delega competência para substituir o Chefe do Escritório Regional Rio Doce durante o período de 12/08/16 à 03/09/2016.
Resolução Conjunta SEMAD/IEF,"49,00",18/08/2016,Estadual,Institui Grupo de Trabalho para estabelecer diretrizes e procedimentos referentes à Declaração de Colheita e Comercialização de Produtos e Subprodutos Florestais - DCC.
Portaria IGAM,2.400,08/08/2016,Estadual,"Revoga-se a Declaração de Área de Conflito do Rio Gorutuba, localizada na bacia hidrográfica do Rio Gorutuba, nos municípios de Janaúba, Francisco Sá, Riacho dos Machados, Porteirinha e Nova Porteirinha – MG."
Deliberação COPAM,"26,00",17/08/2016,Estadual,"Altera a Deliberação COPAM nº 479, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"914,00",19/08/2016,Estadual,"Altera a Deliberação COPAM nº 487, de 24 de maio de 2013 e dá outras providências."
Portaria IEF,"915,00",22/08/2016,Estadual,Delega competência para a prática de atos que menciona e dá outras providências.
Deliberação COPAM,50/2016,22/08/2016,Estadual,"Altera a Deliberação COPAM nº 488, de 24 de maio de 2013 e dá outras providências."
Resolução Conjunta SEMAD/IGAM,"916,00",23/08/2016,Estadual,"Estabelece o limite de atuação do Instituto Mineiro de Gestão das Águas – IGAM para o exercício da competência prevista no artigo 12, inciso IV, da Lei nº 21.972, de 21 de janeiro de 2016, enquanto não se ultimarem as regras de transição previstas no artigo 36 c/c artigo 38, caput, da lei citada."
Deliberação COPAM,2.401,23/08/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Resolução SEMAD,"917,00",29/07/2016,Estadual,Divulga a pontuação parcial do Fator de Qualidade referente às Unidades de Conservação da Natureza e outras Áreas Especialmente Protegidas.
Portaria IEF,2.395,26/08/2016,Estadual,"Dispõe sobre a recondução do Conselho Consultivo do Parque Estadual Nova Baden instituído pela Portaria nº 101, de 03 de setembro de 2014."
Resolução SEMAD,"51,00",29/08/2016,Estadual,Dispõe sobre delegação de competência para a prática dos atos que menciona.
Deliberação COPAM,2.403,29/08/2016,Estadual,"Altera a Deliberação COPAM nº 479, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"919,00",05/09/2016,Estadual,"Altera a Deliberação COPAM nº 490, de 24 de maio de 2013 e dá outras providências."
Decreto Estadual,"920,00",06/09/2016,Estadual,Dispõe sobre a organização da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável.
Deliberação COPAM,47.042,05/09/2016,Estadual,"Altera a Deliberação COPAM nº 484, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"922,00",05/09/2016,Estadual,"Altera a Deliberação COPAM nº 492, de 24 de maio de 2013 e dá outras providências."
Deliberação CERH-MG,"921,00",09/09/2016,Estadual,"Altera Deliberação CERH Nº 361, de 26 de novembro de 2014 e dá outras providências."
Deliberação COPAM,"395,00",09/09/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"923,00",12/09/2016,Estadual,"Altera a Deliberação COPAM nº 458, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"928,00",12/09/2016,Estadual,"Altera a Deliberação COPAM nº 486, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"927,00",12/09/2016,Estadual,"Altera a Deliberação COPAM nº 467, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"926,00",12/09/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"925,00",12/09/2016,Estadual,"Altera a Deliberação COPAM nº 457, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"924,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 471, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"936,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 472, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"937,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 473, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"938,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 466, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"932,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 469, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"934,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 470, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"935,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 469, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"934,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 468, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"933,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 465, de 16 de abril de 2013 e dá outras providências."
Deliberação COPAM,"931,00",12/09/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"929,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 464, de 16 de abril de 2013 e dá outras providências"
Resolução SEMAD,"930,00",13/09/2016,Estadual,"Altera a Deliberação Resolução SEMAD nº 2.328, de 04 de dezembro de 2015 e dá outras providências."
Deliberação COPAM,2.405,15/09/2016,Estadual,"Altera a Deliberação COPAM nº 488, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"944,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 492, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"948,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 487, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"943,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 485, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"942,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 484, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"941,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 483, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"940,00",13/09/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"939,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 491, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"947,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 490, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"946,00",15/09/2016,Estadual,"Altera a Deliberação COPAM nº 489, de 24 de maio de 2013 e dá outras providências."
Resolução SEMAD,"945,00",13/09/2016,Estadual,"Prorroga o Processo Punitivo instaurado pela Resolução SEMAD 2359, de 17 de Março de 2016, prorrogada pela Resolução SEMAD 2374, de 13 de Maio de 2016 e pela Resolução SEMAD 2388, de 05 de Julho de 2016."
Portaria IEF,2.406,16/09/2016,Estadual,"Reconhece como Reserva Particular do Patrimônio Natural, a RPPN “Ecolife”, processo nº 05000000735/15 de 27/05/2015, de propriedade de Chequer & Cia Construtora Ltda., localizada no município de Viçosa – Minas Gerais."
Portaria IEF,"62,00",16/09/2016,Estadual,"Reconhece como Reserva Particular do Patrimônio Natural, a RPPN “Gruta do Éden”, processo nº 13010006997/13 de 30/06/2014, de propriedade de Mineração Saldanha Ltda., localizada no município de Pains – Minas Gerais."
Portaria IEF,"60,00",16/09/2016,Estadual,"Dispõe sobre a composição do mandato do Conselho Consultivo do Monumento Natural Estadual Serra da Moeda, para o Biênio 2016 a 2018."
Portaria IEF,"59,00",16/09/2016,Estadual,"Reconhece como Reserva Particular do Patrimônio Natural, a RPPN “Dois Irmãos: Claudio Murilo Belletti Rodrigues”, processo nº 05000000953/12 de 07/05/2012, de propriedade de Ana Luiza Belletti Rodrigues, localizada no município de Faria Lemos – Minas Gerais."
Portaria IEF,"61,00",16/09/2016,Estadual,"Reconhece como Reserva Particular do Patrimônio Natural, a RPPN “Córrego do Sítio I”, processo nº 0005588215012016 de 08/03/2016, de propriedade de AngloGold Ashanti Córrego do Sítio Mineração S.A., localizada no município de Santa Bárbara – Minas Gerais."
Resolução SEMAD,"63,00",23/08/2016,Estadual,"Concede Promoção aos servidores do Quadro de Pessoal da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável – SEMAD, integrantes das carreiras do Grupo de Atividades de Meio Ambiente e Desenvolvimento Sustentável do Poder Executivo, nos termos do art. 17 da Lei 15.461, de 13 de janeiro de 2005."
Portaria FEAM,2.402,11/08/2016,Estadual,"Concede promoção aos servidores do Quadro de Pessoal da Fundação Estadual do Meio Ambiente – FEAM, integrantes das carreiras do Grupo de Atividades de Meio Ambiente e Desenvolvimento Sustentável do Poder Executivo, nos termos do art. 17 da Lei 15.461, de 13 de janeiro de 2005."
Deliberação COPAM,"574,00",19/09/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"950,00",19/09/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Portaria IEF,"949,00",14/09/2016,Estadual,"Institui Comissão Especial para analisar e emitir Pareceres sobre a concessão de benefício de redução de taxa florestal, conforme disposto na Lei Estadual nº 11.363, de 29 de dezembro de 1993, na Lei Estadual nº 12.582, de 17 de julho de 1997, e no Decreto Estadual nº 36.110, de 04 de outubro de 1994."
Portaria IEF,"57,00",14/09/2016,Estadual,Aprova o regimento interno do Conselho Consultivo da Estação Ecológica de Sagarana.
Portaria IEF,"56,00",14/09/2016,Estadual,"Dispõe sobre a nova composição do Conselho Consultivo do Parque Estadual de Grão Mogol - PEGM, para o biênio 2016 à 2018."
Deliberação COPAM,"58,00",20/09/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Decreto Estadual,"951,00",30/12/2015,Estadual,"Regulamenta o art. 17 da Lei nº 21.735, de 3 de agosto de 2015, e dá outras providências."
Decreto Estadual,46.928,26/09/2016,Estadual,"Altera o Decreto nº 46.501, de 5 de maio de 2014, que dispõe sobre o Conselho Estadual de Recursos Hídricos – CERH-MG."
Deliberação Normativa COPAM,47.050,21/09/2016,Estadual,"Define critérios para licenciamento para as atividades de disposição de rejeito e estéril da mineração em cava de mina e de reaproveitamento desses materiais quando dispostos em pilha, em barragem ou em cava e altera dispositivos da Deliberação Normativa COPAM nº 74, de 9 de setembro de 2004."
Deliberação CERH-MG,"210,00",23/09/2016,Estadual,"Altera Deliberação CERH Nº 361, de 26 de novembro de 2014 e dá outras providências."
Resolução SEMAD,"396,00",27/09/2016,Estadual,"RESOLUÇÃO SEMAD Nº 2.408, 27 DE SETEMBRO DE 2016. Divulga os dados cadastrais apurados no 2º trimestre de 2016, referentes aos sistemas de saneamento ambiental com Licença de Operação ou Autorização Ambiental de Funcionamento concedidas pelo órgão ambiental estadual e às unidades de conservação federais, estaduais, municipais e particulares, situadas no Estado de Minas Gerais, segundo o art. 4º, incisos I, II e III da Lei nº 18.030, de 12 de janeiro de 2009."
Resolução SEMAD,2.409,27/09/2016,Estadual,"Divulga os dados cadastrais apurados no 2º trimestre de 2016, referentes aos sistemas de saneamento ambiental com Licença de Operação ou Autorização Ambiental de Funcionamento concedidas pelo órgão ambiental estadual e às unidades de conservação federais, estaduais, municipais e particulares, situadas no Estado de Minas Gerais, segundo o art. 4º, incisos I, II e III da Lei nº 18.030, de 12 de janeiro de 2009."
Deliberação COPAM,2.408,30/09/2016,Estadual,"Altera a Deliberação COPAM nº 479, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"952,00",04/10/2016,Estadual,"Altera a Deliberação COPAM nº 479, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"956,00",04/10/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"954,00",04/10/2016,Estadual,"Altera a Deliberação COPAM nº 489, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"955,00",04/10/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Portaria IEF,"953,00",03/10/2016,Estadual,"Dispõe sobre a criação do Conselho Consultivo do Parque Estadual Serra do Ouro Branco, biênio 2016-2018."
Portaria IEF,"69,00",06/10/2016,Estadual,Designa em caráter temporário os servidores abaixo relacionados para responderem temporariamente pelas seguintes unidades administrativas do Regional Centro Oeste.
Portaria IEF,"71,00",03/10/2016,Estadual,"Dispõe sobre a recondução do Conselho Consultivo do Parque Estadual Serra da Boa Esperança instituído pela Portaria nº 109, de outubro de 2014."
Resolução SEMAD,"68,00",07/10/2016,Estadual,Credencia servidores para a prática das atividades relativas às ações de fiscalização e autuação no âmbito da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável - SEMAD.
Resolução Conjunta SEMAD/IEF,2.413,07/10/2016,Estadual,"Altera a Resolução Conjunta SEMAD/IEF N° 1.658, de 27 de julho de 2012, que institui o Selo de Origem Florestal - SOF para carvão vegetal empacotado e o Selo de Origem Florestal para Exportação - SOFEX."
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,2.412,05/10/2016,Estadual,"Institui Comissão Interna para acompanhamento de ações e diligências relativas ao rompimento da barragem do Complexo Minerário de Germano, da empresa Samarco Mineração S.A."
Resolução SEMAD,2.410,07/10/2016,Estadual,"Decide o Processo Administrativo Disciplinar, instaurado pela Resolução SEMAD nº 2052 de 16 de abril de 2014."
Resolução SEMAD,2.411,07/10/2016,Estadual,Dispõe sobre designação em caráter temporário de servidor para responder por unidade administrativa da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável.
Portaria IEF,2.416,03/10/2016,Estadual,Aprova o regimento interno do Conselho Consultivo do Parque Estadual Serra da Boa Esperança.
Deliberação COPAM,"70,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"970,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 491, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"968,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 489, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"966,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 486, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"964,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 484, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"963,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 492, de 24 de maio de 2013 e dá outras providências."
Resolução SEMAD,"969,00",18/10/2016,Estadual,Dispõe sobre designação de servidor para responder por unidade administrativa da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável.
Deliberação COPAM,2.419,18/10/2016,Estadual,"Altera a Deliberação COPAM nº 487, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"960,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 491, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"968,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 487, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"960,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 485, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"961,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 483, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"962,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 488, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"965,00",18/10/2016,Estadual,"Altera a Deliberação COPAM nº 490, de 24 de maio de 2013 e dá outras providências."
Portaria IEF,"967,00",24/10/2016,Estadual,Cria o Conselho Consultivo da Área de Proteção Ambiental da Bacia do Rio Machado – APA Rio Machado.
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,"75,00",21/10/2016,Estadual,Institui Grupo Interdisciplinar de Espeleologia - GRUPE.
Deliberação COPAM,2.420,08/11/2016,Estadual,"Altera a Deliberação COPAM nº 476, de 24 de maio de 2013 e dá outras providências."
Deliberação COPAM,"973,00",08/11/2016,Estadual,"Altera a Deliberação COPAM nº 477, de 24 de maio de 2013 e dá outras providências."
Resolução SEMAD,"972,00",08/11/2016,Estadual,"Prorroga o Processo Punitivo instaurado pela Resolução SEMAD 2.359, de 17 de Março de 2016, prorrogada pela Resolução SEMAD 2.374, de 13 de Maio de 2016, Resolução SEMAD 2.388, de 05 de Julho de 2016 e Resolução SEMAD 2406, de 13 de setembro de 2016."
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,2.424,31/10/2016,Estadual,"Delega competência para a prática de atos relacionados à execução orçamentária, financeira e contábil no âmbito do Sistema Estadual de Meio Ambiente e Recursos Hídricos – SISEMA."
Portaria IGAM,2.423,27/10/2016,Estadual,"Concede Promoção por Escolaridade Adicional aos servidores do Quadro de Pessoal do Instituto Mineiro de Gestão das Águas – IGAM, integrantes das carreiras do Grupo de Atividades de Meio Ambiente e Desenvolvimento Sustentável do Poder Executivo, nos termos do Decreto nº 44.334, de 26 de junho de 2006, alterado pelo Decreto nº 44.558, de 29 de junho de 2007."
Resolução SEMAD,"32,00",08/11/2016,Estadual,"Prorroga o Processo Punitivo instaurado pela Resolução SEMAD 2.359, de 17 de Março de 2016, prorrogada pela Resolução SEMAD 2374, de 13 de Maio de 2016, Resolução SEMAD 2.388, de 05 de Julho de 2016 e Resolução SEMAD 2406, de 13 de setembro de 2016."
Portaria IGAM,2.424,27/10/2016,Estadual,"Concede Progressão aos servidores do Quadro de Pessoal do Instituto Mineiro de Gestão das Águas – IGAM, integrantes das carreiras do Grupo de Atividades de Meio Ambiente e Desenvolvimento Sustentável do Poder Executivo, nos termos do art. 16 da Lei 15.461, de 13 de janeiro de 2005."
Resolução SEMAD,"31,00",16/11/2016,Estadual,"Divulga o Cadastro Estadual de Entidades Ambientalistas – CEEA conforme Resolução SEMAD nº 1.573, de 26 de abril de 2012."
Resolução SEMAD,2.425,31/10/2016,Estadual,"Dispõe sobre a delegação de competência para a prática de atos relacionados à execução orçamentária, financeira e contábil no âmbito do Sistema Estadual de Meio Ambiente e Recursos Hídricos – SISEMA"
Deliberação COPAM,2.422,24/05/2013,Estadual,Estabelece a designação dos membros do Plenário do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação Normativa COPAM,"476,00",16/11/2016,Estadual,"Regulamenta o art. 12 da Lei Estadual nº 13.796, de 20 de dezembro de 2000"
Deliberação COPAM,"211,00",05/12/2016,Estadual,"Altera a Deliberação Copam nº 852, de 6 de abril de 2016, Deliberação Copam nº 853, de 6 de abril de 2016, Deliberação Copam nº 854, de 6 de abril de 2016, Deliberação Copam nº 855, de 6 de abril de 2016, Deliberação Copam nº 856, de 6 de abril de 2016, Deliberação Copam nº 857, de 6 de abril de 2016, Deliberação Copam nº 858, de 6 de abril de 2016, e dá outras providências."
Portaria FEAM,"981,00",05/12/2016,Estadual,Designa servidor para responder pelo expediente da Presidência da FEAM durante o afastamento por férias regulamentares de seu titular e dá outras providências.
Resolução SEMAD,"576,00",23/12/2016,Estadual,Credencia servidores para a prática das atividades relativas às ações de fiscalização e autuação no âmbito da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável - SEMAD.
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,2.444,23/11/2016,Estadual,"Institui Comissão de Gestão de Informações no âmbito da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável (SEMAD), do Instituto Mineiro de Gestão das Águas (IGAM), da Fundação Estadual do Meio Ambiente (FEAM) e do Instituto Estadual de Florestas (IEF) e Revoga a Resolução Conjunta SEMAD/ IGAM/ FEAM/ IEF nº 1.591, de 28 de maio de 2012."
Resolução SEMAD,2.432,07/12/2016,Estadual,"Altera a Resolução SEMAD nº 2.269, de 12 de maio de 2015, a fim de substituir membro suplente do IEF, integrante do Grupo Coordenador do Fundo de Recuperação, Proteção e desenvolvimento Sustentável das Bacias Hidrográficas do Estado de Minas Gerais – FHIDRO ."
Resolução SEMAD,2.435,15/12/2016,Estadual,Dispõe sobre designação de servidor para responder por unidade administrativa da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável.
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,2.437,24/12/2016,Estadual,"Altera o art. 3º, II, alíneas “b” e “g” da Resolução Conjunta SEMAD/FEAM/IEF/IGAM nº 2.370, de 08 de abril de 2016, que delega competência para a prática de atos relacionados à execução orçamentária, financeira e contábil no âmbito do Sistema Estadual de Meio Ambiente e Recursos Hídricos – SISEMA, visando à substituição dos servidores referenciados nesses dispositivos."
Resolução Conjunta SEMAD/IEF,2.433,20/12/2016,Estadual,"Prorroga o termo final do prazo para a renovação do registro estabelecido na Resolução Conjunta Semad / IEF n.º 1.659, de 27 de julho de 2012."
