Tipo,Numero,Data,Nivel,Ementa
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,1.573,28/05/2012,Estadual,"Institui, no âmbito da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável, do Instituto Mineiro de Gestão das Águas, Instituto Estadual de Florestas e da Fundação Estadual do Meio Ambiente a Comissão de Gestão de Informações e designa membros."
Resolução SEMAD,1.591,01/06/2012,Estadual,Determina a realização da Avaliação Ambiental Integrada das Unidades de Planejamento de Gerenciamento de Recursos Hídricos – UPGRHS que menciona
Decreto Estadual,1.605,04/06/2012,Estadual,"Estabelece normas para a concessão de incentivo financeiro a catadores de materiais recicláveis – Bolsa Reciclagem, de que trata a Lei nº 19.823, de 22 de novembro de 2011."
Deliberação Normativa COPAM,45.975,22/08/2012,Estadual,Estabelece o Regimento Interno do Conselho Estadual de Política Ambiental - Copam.
Resolução COPAM,"177,00",29/11/2011,Estadual,Cria a Comissão de Gestão Publica a que se refere o art. 9º da Deliberação Normativa COPAM nº 133/09.
Resolução Conjunta SEMAD/IEF,1.448,27/07/2012,Estadual,Institui o Selo de Origem Florestal - SOF para carvão vegetal empacotado e o Selo de Origem Florestal para Exportação - SOFEX e dá outras providências.
Deliberação Normativa COPAM,1.658,08/05/2012,Estadual,Dispõe sobre a utilização da Avaliação Ambiental Integrada - AAI como instrumento de apoio ao planejamento da implantação de novos empreendimentos hidrelétricos no Estado de Minas Gerais.
Resolução Conjunta SEMAD/IEF/FEAM/IGAM,"175,00",20/11/2012,Estadual,"Dispõe sobre o recebimento e atendimento às denúncias do cidadão e órgãos de controle referente às questões ambientais dirigidas ao Sistema Estadual de Meio Ambiente e Recursos Hídricos (SISEMA), e dá outras providências"
Resolução SEMAD,1.759,24/01/2013,Estadual,Dispõe sobre a correção anual dos valores das multas aplicadas as infrações por descumprimento das normas previstas na Lei nº 14.309/2002 e Lei nº 14.181/2002.
Deliberação Normativa CERH-MG,1.798,22/03/2012,Estadual,"Regulamenta o Art. 3º do Decreto Estadual n° 45.230, de 03 de dezembro de 2009, que dispõe sobre o Fundo de Recuperação, Proteção e Desenvolvimento Sustentável das Bacias Hidrográficas do Estado de Minas Gerais - FHIDRO e dá outras providências."
Portaria IEF,"41,00",31/01/2013,Estadual,Delega competências aos Chefes dos Escritórios Regionais do IEF para a prática de atos que menciona.
Resolução Conjunta SEMAD/IEF,"9,00",27/07/2012,Estadual,"Dispõe sobre o registro obrigatório para as pessoas físicas e jurídicas que explorem, comercializem ou industrializem produtos/petrechos de pesca no Estado de Minas Gerais."
Resolução Conjunta SEMAD/IEF,1.659,27/07/2012,Estadual,Dispõe sobre o cadastro e o registro obrigatório de pessoas físicas e jurídicas.
Deliberação Normativa COPAM,1.661,26/07/2010,Estadual,Convoca os municípios para a regularização ambiental de sistemas de tratamento de água e dá outras providências.
Deliberação Normativa COPAM,"153,00",05/04/2013,Estadual,Estabelece os procedimentos para formalização dos processos de regularização ambiental que têm por finalidade a compensação social de reserva legal mediante a doação de áreas em Unidades de Conservação de Proteção Integral pendentes de regularização fundiária no Estado de Minas Gerais.
Deliberação COPAM,"181,00",24/05/2013,Estadual,"Estabelece a designação dos membros da Câmara Temática de Proteção à Biodiversidade e de Áreas Protegidas - CPB do Conselho Estadual de Política Ambiental - COPAM, e dá outras providências."
Deliberação COPAM,"479,00",24/05/2013,Estadual,"Estabelece a designação dos membros da Câmara Temática de Atividades Agrossilvipastoris - CAP do Conselho Estadual de Política Ambiental - COPAM, e dá outras providências."
Deliberação COPAM,"478,00",24/05/2013,Estadual,"Estabelece a designação dos membros da Estabelece a designação dos membros da Câmara Temática de Energia e Mudanças Climáticas - CEM do Conselho Estadual de Política Ambiental - COPAM, e dá outras providências."
Deliberação COPAM,"480,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Rio das Velhas - URC RV do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"489,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Zona da Mata - URC ZM do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"492,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Norte de Minas - URC NM do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"486,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Triângulo Mineiro e Alto Paranaíba - URC TMAP do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"491,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Rio Paraopeba - URC RP do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"488,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Sul de Minas - URC SM do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"490,00",24/05/2016,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Jequitinhonha - URC JEQ do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"484,00",24/05/2013,Estadual,Estabelece a designação dos membros da Câmara Normativa e Recursal- CNR do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação COPAM,"477,00",24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Alto São Francisco - URC ASF do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Resolução SEMAD,"483,00",11/06/2013,Estadual,"Determina a suspensão temporária da emissão de Documento Autorizativo para Intervenção Ambiental – DAIA e Autorização para Intervenção Ambiental - AIA, do Bioma Mata Atlântica, com as respectivas delimitações estabelecidas em mapa do Instituto Brasileiro de Geografia e Estatística – IBGE, previsto no art. 2º da Lei no 11.428, de 22 de dezembro de 2006, para a atividade de silvicultura."
Resolução Conjunta SEMAD/IEF,1.871,27/07/2012,Estadual,Institui a Guia de Controle Ambiental Eletrônica.
Resolução SEMAD,1.660,20/06/2013,Estadual,Institui o Cadastro de Entidades de Ensino e Pesquisa - CEEP e dá outras providências.
Resolução SEMAD,1.877,20/06/2013,Estadual,Institui o Cadastro de Entidades Civis Representativas de Categorias de Profissionais Liberais - CCPL e dá outras providências.
Deliberação COPAM,1.876,24/05/2013,Estadual,Estabelece a designação dos membros da Unidade Regional Colegiada Noroeste de Minas - URC NOR do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Resolução SEMAD,"487,00",31/07/2013,Estadual,Determina a realização da Avaliação Ambiental Integrada das Unidades de Planejamento e Gestão de Recursos Hídricos – UPGRHS que menciona.
